group	count
tot_reads_no_rare	178624174
gal_reads_no_rare	76862793
exm_reads_no_rare	101761381
jan_reads_no_rare	18152880
feb_reads_no_rare	14187162
mar_reads_no_rare	13290042
apr_reads_no_rare	13899318
may_reads_no_rare	14778775
jun_reads_no_rare	12776488
jul_reads_no_rare	16436433
aug_reads_no_rare	11965084
sep_reads_no_rare	18027710
oct_reads_no_rare	14519118
nov_reads_no_rare	15301243
dec_reads_no_rare	15289921
mean_sample	744267.391666667
SEM_sample	26000.4637368261
