"";"open";"forest";"galloway";"exmoor"
"1";"Ascobolus lineolatus";"Pseudaleuria sp. MF-3";"0";"Alternaria rosae"
"2";"0";"0";"0";"Ascomycota sp. UNEX FECRGA 2012E648"
"3";"0";"0";"0";"Mucor hiemalis"
"4";"0";"0";"0";"Mucor sp. BESC196c"
"5";"0";"0";"0";"Podospora curvicolla"
