kingdom;phylum;class;order;family;genus;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;total
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Dactylis;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Dactylis;0;5035;2125;39954;222;19029;66365
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;55;1712;439;21634;0;31476;55316
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;15837;12549;3679;93160;40103;166026;331354
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Glyceria;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Glyceria;64;59073;473;266978;0;284034;610622
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Helictochloa;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Helictochloa;0;0;0;668;0;0;668
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Holcus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Holcus;8323;35727;3342;48862;0;41709;137963
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;0;1017;940;33609;0;9410;44976
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Melica;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Melica;2083;9461;0;820;0;300;12664
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Milium;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Milium;0;3731;0;0;0;0;3731
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Molinia;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Molinia;0;0;0;192;0;0;192
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Nardus;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Nardus;0;3200;0;0;0;260;3460
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phalaris;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phalaris;0;308;0;52022;0;9647;61977
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum;0;706;0;11125;418;125;12374
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa;2748;62353;6229;737285;761;52258;861634
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis);Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis);3721;2996;46885;37032;1759;65121;157514
Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poaceae genus 10;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Poaceae genus 10;14604;2102;0;24209;0;4539;45454
Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Papaveraceae;Chelidonium;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Papaveraceae;Chelidonium;0;0;0;1072;0;0;1072
Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Anemone;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Anemone;21294;0;0;0;0;0;21294
Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Callianthemum;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Callianthemum;0;300;1059;1691;0;0;3050
Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ficaria;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ficaria;0;1502;0;0;0;0;1502
Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;58468;22110;231904;51918;15484;129141;509025
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae;Frangula;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae;Frangula;0;1520;55795;0;9096;3226;69637
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Agrimonia;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Agrimonia;90722;3537;14540;0;37547;0;146346
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Comarum;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Comarum;0;234;0;12072;0;0;12306
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Crataegus;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Crataegus;5169;0;15695;0;816;0;21680
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Filipendula;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Filipendula;42534;400261;18419;10472;0;135099;606785
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Fragaria;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Fragaria;0;0;0;0;16672;0;16672
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Geum;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Geum;278155;826899;704013;53404;82989;41426;1986886
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Malus;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Malus;4385;15211;8999;44677;117314;34982;225568
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;254163;110966;2221943;3234559;662744;504124;6988499
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;23448;276604;2602404;312390;1868160;783826;5866832
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;117039;2195059;758424;59145;1256060;305489;4691216
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus 1 (alchemilla/aphanes);Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus 1 (alchemilla/aphanes);0;2612;0;4805;0;0;7417
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus 7 (prunus/amelanchier);Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus 7 (prunus/amelanchier);0;609;0;14716;0;0;15325
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus seq3608;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus seq3608;0;258;0;89;0;257;604
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus seq3796;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosaceae genus seq3796;0;259;0;0;0;293;552
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;19567013;9904019;2754786;7169069;12634881;7873601;59903369
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;0;19216;2120;357;16310;18620;56623
Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;7946;1585;2385;0;3271;0;15187
Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Viridiplantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;0;1782;155;0;0;0;1937
Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Crassulaceae;Hylotelephium;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Crassulaceae;Hylotelephium;0;0;0;0;1088;0;1088
Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Convolvulus;0;3489;434;4837;0;0;8760
Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq24446;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq24446;0;89;0;0;0;0;89
Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq26826;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq26826;0;163;0;0;0;0;163
Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq28504;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Cupressaceae genus seq28504;0;118;0;0;0;0;118
Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Juniperus;Viridiplantae;Streptophyta;Pinopsida;NOID;Cupressaceae;Juniperus;0;10500;0;0;1516;1153;13169
Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Picea;Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Picea;0;979;0;0;0;0;979
Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Pinus;Viridiplantae;Streptophyta;Pinopsida;NOID;Pinaceae;Pinus;0;483;0;0;0;0;483
Viridiplantae;Streptophyta;Pinopsida;NOID;Taxaceae;Taxus;Viridiplantae;Streptophyta;Pinopsida;NOID;Taxaceae;Taxus;0;7527;0;0;0;0;7527
