kingdom;phylum;class;order;family;genus;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;total
Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Teesdalia;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Teesdalia;0;0;0;1341;0;0;1341
Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Turritis;Viridiplantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Turritis;224;0;0;0;0;0;224
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Caryophyllaceae genus 2;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Caryophyllaceae genus 2;0;26858;0;0;0;1630;28488
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Caryophyllaceae genus 3;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Caryophyllaceae genus 3;0;0;4549;0;0;0;4549
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Cerastium;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Cerastium;0;21610;95436;250213;9568;13814;390641
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Dianthus;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Dianthus;0;1300;0;198;0;0;1498
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Moehringia;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Moehringia;0;9155;0;126;0;0;9281
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Sagina;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Sagina;0;0;0;859;0;0;859
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Stellaria;179;86262;15075;13336;82506;7505;204863
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Persicaria;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Persicaria;0;0;0;11000;0;0;11000
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Polygonum;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Polygonum;442;180;16509;129984;6243;2175;155533
Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex;118077;1391911;2302839;5429613;238166;74509;9555115
Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;0;0;0;0;23760;0;23760
Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Knautia;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Knautia;4901;1752;8165;0;16485;10492;41795
Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;5254;0;0;0;0;0;5254
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;287539;1557841;398301;18552;1680954;1640430;5583617
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Empetrum;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Empetrum;0;0;0;0;324;0;324
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Ericaceae genus 1;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Ericaceae genus 1;0;0;1425;8366;0;0;9791
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;463681;5775;232088;631888;0;0;1333432
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Hottonia;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Hottonia;0;1098;0;0;0;106;1204
Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;3563;0;2894;2114;0;0;8571
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Anthyllis;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Anthyllis;0;0;0;0;0;4072;4072
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Cytisus;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Cytisus;96396;380670;5551;212558;42554;185200;922929
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Genista;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Genista;0;0;0;0;0;446;446
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;378411;14190;1801818;177468;45329;479101;2896317
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Medicago;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Medicago;0;0;1220;0;67763;486;69469
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ononis;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ononis;0;0;5949;577;5822;3142;15490
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ornithopus;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Ornithopus;0;335;0;163;0;0;498
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;1715;33727;2743732;2498765;330585;226414;5834938
Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vicia;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Vicia;0;975;27634;4466;0;0;33075
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;76451;103389;347;35970;30326;175825;422308
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula;2481946;1169400;46278;4667;172913;427966;4303170
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Corylus;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Corylus;0;10906;6208;27391;865;23361;68731
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Fagaceae genus 1;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Fagaceae genus 1;0;13525;0;14526;0;184026;212077
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Fagus;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Fagus;73806;1047495;25470;2946083;18521;864403;4975778
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;1356370;9374913;429388;5091452;3965177;12422397;32639697
Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Myricaceae;Myrica;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Myricaceae;Myrica;0;0;0;76203;0;0;76203
Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Viridiplantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;5781;8596;149321;10741;67976;7526;249941
Viridiplantae;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Erodium;Viridiplantae;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Erodium;0;0;1944;385;0;612;2941
Viridiplantae;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;Viridiplantae;Streptophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;3730;202934;34423;190327;2820;2875;437109
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Glechoma;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Glechoma;0;515;0;0;0;155;670
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Prunella;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Prunella;0;2359;762;8897;13169;855;26042
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;0;0;0;175;0;25422;25597
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Melampyrum;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Melampyrum;0;0;84735;3454;0;1149;89338
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Odontites;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Odontites;0;0;10060;89;0;0;10149
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Rhinanthus;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Rhinanthus;0;0;10422;0;0;0;10422
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Linaria;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Linaria;0;0;0;0;0;1450;1450
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;742577;334776;4845787;541802;4012736;200450;10678128
Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;1745;30215;31606;6090;138453;14048;222157
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12720;Magnoliopsida family seq12720;Magnoliopsida genus seq12720;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12720;Magnoliopsida family seq12720;Magnoliopsida genus seq12720;0;0;322;0;0;0;322
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12855;Magnoliopsida family seq12855;Magnoliopsida genus seq12855;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12855;Magnoliopsida family seq12855;Magnoliopsida genus seq12855;0;0;0;229;0;0;229
Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12862;Magnoliopsida family seq12862;Magnoliopsida genus seq12862;Viridiplantae;Streptophyta;Magnoliopsida;Magnoliopsida order seq12862;Magnoliopsida family seq12862;Magnoliopsida genus seq12862;0;0;216;0;0;0;216
