"";"open";"forest";"galloway";"exmoor"
"1";"Aphodius foetens";"Aleochara lanuginosa";"Anoplotrupes stercorosus";"Aphodius sp.2 (conspurcatus)"
"2";"Aphodius fossor";"Anoplotrupes stercorosus";"Aphodius fimetarius/pedellus";"Atheta setigera"
"3";"Aphodius haemorrhoidalis";"0";"Aphodius fossor";"Atheta sordidula"
"4";"Sphaeridium bipustulatum";"0";"Aphodius haemorrhoidalis";"Baeocrara variolosa"
"5";"Sphaeridium scarabaeoides";"0";"0";"Ptenidium nitidum"
"6";"Sphaeridium sp.1 (lunatum/bipustulatum)";"0";"0";"Tachinus marginellus"
