"mean"	"StErr"
"RGE"	10.0769230769231	0.939021093774861
"RGM"	30.7647058823529	2.59955392564799
"RGL"	22.375	1.58950383324402
"REE"	19.7560975609756	0.944031629149796
"REM"	26.8695652173913	1.32665308260913
"REL"	27.125	1.44966286973815
"RE"	15.0375	0.85692335853626
"RM"	28.525	1.35021974301607
"RL"	24.75	1.10171040785898
"RG"	20.6548672566372	1.28160240591598
"REx"	24.6535433070866	0.784041072931758
"RO"	23.0916666666667	1.10245434322616
"RF"	22.45	0.997184411581068
"RGO"	21.5789473684211	1.92251978170337
"RGF"	19.7142857142857	1.69906664326507
"REO"	24.4603174603175	1.16591492059289
"REF"	24.84375	1.0590733141394
